gene,baseMean,log2FoldChange,padj,regulation
XIST,1946.02,8.343,2.56e-03,Up-regulated
EDN3,11.69,6.449,1.01e-02,Up-regulated
SPINK1,9.86,6.204,2.10e-02,Up-regulated
TWSG1-DT,9.47,6.115,6.30e-03,Up-regulated
RBP4,7.47,5.805,3.69e-02,Up-regulated
MYL1,55.15,5.732,3.85e-03,Up-regulated
ATP1B4,167.43,5.672,3.00e-04,Up-regulated
FAT3,6.66,5.649,1.92e-02,Up-regulated
VGLL2,334.04,5.499,1.66e-03,Up-regulated
MIXL1,11.94,5.006,2.58e-02,Up-regulated
CA3,2944.4,4.791,1.35e-02,Up-regulated
SYNPR,12.59,4.1,1.12e-02,Up-regulated
MKRN2OS,170.6,3.872,4.03e-06,Up-regulated
SLC44A5,428.22,3.726,2.89e-03,Up-regulated
ANKRD18B,9.65,3.722,4.83e-02,Up-regulated
RAB33A,55.56,3.645,5.02e-06,Up-regulated
SEZ6L,254.86,3.628,1.36e-02,Up-regulated
HRK,52.64,3.534,1.02e-04,Up-regulated
DNAAF3,434.2,3.459,2.65e-12,Up-regulated
TNMD,46.25,3.447,8.58e-03,Up-regulated
TGFB2-AS1,39.64,3.295,7.31e-05,Up-regulated
ATP6V1G2,14.47,3.248,6.66e-03,Up-regulated
STRIT1,175.68,3.021,1.28e-05,Up-regulated
MAP3K7CL,450.02,3.005,8.15e-07,Up-regulated
LILRA5,6.4,-3.016,5.58e-03,Down-regulated
CD180,42.42,-3.022,1.20e-02,Down-regulated
LDLRAD4,8.23,-3.039,1.94e-02,Down-regulated
LCN6,68.8,-3.049,3.31e-04,Down-regulated
PGA4,10.3,-3.073,3.58e-02,Down-regulated
CTSG,35.36,-3.09,1.09e-03,Down-regulated
TLR2,211.32,-3.193,7.66e-11,Down-regulated
CD209,385.48,-3.194,3.92e-08,Down-regulated
LILRA6,7.67,-3.196,2.51e-03,Down-regulated
MMP9,22.99,-3.239,1.78e-03,Down-regulated
IL1RN,15.53,-3.244,4.17e-02,Down-regulated
KCNK13,41.98,-3.25,1.09e-03,Down-regulated
PDE11A,144.98,-3.266,2.52e-11,Down-regulated
CPNE5,1129.62,-3.295,2.46e-02,Down-regulated
CCR1,124.17,-3.311,2.35e-07,Down-regulated
S100A8,127.7,-3.329,1.02e-04,Down-regulated
CXCR1,18.01,-3.33,1.43e-03,Down-regulated
CHI3L1,20.32,-3.346,1.04e-02,Down-regulated
HK3,91.06,-3.368,9.62e-12,Down-regulated
SSTR5,43.11,-3.382,3.00e-04,Down-regulated
F13A1,3626.76,-3.393,5.24e-03,Down-regulated
ABCC3,44.34,-3.415,9.73e-04,Down-regulated
PGA3,9.96,-3.421,1.26e-02,Down-regulated
IL2RA,59.41,-3.464,2.99e-11,Down-regulated
SLCO4A1,205.18,-3.464,5.69e-12,Down-regulated
SERPINA1,68.97,-3.473,5.51e-04,Down-regulated
SIGLEC9,32.68,-3.477,1.58e-08,Down-regulated
FGF5,10.48,-3.483,2.97e-02,Down-regulated
LCN10,140.03,-3.486,2.52e-05,Down-regulated
EDN2,12.11,-3.497,7.38e-03,Down-regulated
CHRDL2,121.9,-3.503,1.92e-02,Down-regulated
FIBCD1,36.23,-3.537,6.78e-05,Down-regulated
TOGARAM2,301.88,-3.541,2.99e-11,Down-regulated
RARRES1,222.46,-3.542,1.71e-06,Down-regulated
MEFV,12.95,-3.545,1.08e-06,Down-regulated
PELATON,19.87,-3.558,1.63e-04,Down-regulated
NLRP6,9.23,-3.615,2.53e-02,Down-regulated
PGA5,8.91,-3.631,2.04e-02,Down-regulated
SLA,243.9,-3.639,7.56e-08,Down-regulated
SPP1,1094.24,-3.774,4.60e-02,Down-regulated
CLEC4M,6.2,-3.837,2.56e-03,Down-regulated
IL1RL1,54.33,-3.925,1.20e-07,Down-regulated
BATF,9.8,-3.958,1.78e-02,Down-regulated
LYVE1,1236.29,-4.087,9.78e-05,Down-regulated
CD163,1776.29,-4.096,2.00e-04,Down-regulated
FPR1,140.92,-4.141,7.10e-07,Down-regulated
FPR2,23.26,-4.152,4.18e-05,Down-regulated
ACP3,7.6,-4.193,3.36e-04,Down-regulated
MT1M,74.59,-4.237,1.01e-09,Down-regulated
S100A9,427.61,-4.237,1.15e-04,Down-regulated
AQP4,191.37,-4.278,2.84e-03,Down-regulated
SERPINA3,672.8,-4.348,3.19e-03,Down-regulated
SLC38A8,20.26,-4.358,3.64e-05,Down-regulated
CLEC4G,33.62,-4.37,1.86e-08,Down-regulated
CR1,92.83,-4.383,1.84e-08,Down-regulated
FCGBP,215.85,-4.486,9.12e-04,Down-regulated
ALOX15B,10.67,-4.549,8.91e-04,Down-regulated
RNASE2,10.34,-4.657,1.78e-05,Down-regulated
GDPD4,9.31,-4.671,1.22e-03,Down-regulated
MT1A,50.5,-5.102,1.88e-10,Down-regulated
CD177,11.71,-5.446,1.18e-07,Down-regulated
CD5L,8.31,-5.607,3.79e-03,Down-regulated
