,SRR24302632,SRR24302634,SRR24302635,SRR24302636,SRR24302637,SRR24302638,SRR24302640,SRR24302643
DDX11L1,5,0,1,2,11,2,6,11
WASH7P,232,170,190,212,209,185,251,222
MIR6859-1,2,0,4,2,1,6,2,3
MIR1302-2HG,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0
OR4F5,3,0,2,0,0,0,0,0
LOC124903816,2,2,6,0,0,2,3,0
LOC124900384,15,10,12,18,13,12,9,18
LOC729737,66,46,69,59,103,72,51,99
LOC124903814,7,15,7,17,7,9,1,19
DDX11L17,4,0,0,10,15,0,10,13
WASH9P,196,189,184,226,237,238,311,209
MIR6859-2,1,0,1,1,0,2,4,1
LOC127239154,5,18,27,50,28,37,21,27
LOC124903815,1,0,2,2,2,4,5,3
LOC124900618,0,4,2,6,6,6,5,4
LOC112268260,0,2,3,3,2,0,0,4
OR4F29,2,0,1,0,1,0,0,0
LOC100132287,59,15,60,33,78,56,38,93
LOC124904706,0,0,0,0,0,0,0,0
LOC105378947,0,4,4,2,6,1,3,5
LOC101928626,80,53,55,43,58,33,36,47
MIR12136,21344,22139,22302,24087,15724,15614,14573,15709
OR4F16,3,4,1,0,3,0,1,2
LOC100288069,127,65,85,79,105,116,115,139
LINC01409,19,15,33,27,16,21,31,7
LOC124903817,7,7,18,6,9,9,6,22
FAM87B,6,3,4,9,17,5,8,2
LINC00115,18,16,13,9,18,10,16,19
LINC01128,2455,2145,3457,2351,2334,3126,2256,2433
LOC107984850,4,1,5,5,8,1,4,6
FAM41C,5,7,4,5,2,2,2,6
LOC284600,16,9,11,14,32,11,22,13
LINC02593,0,0,4,0,15,6,12,9
LOC107985728,1,0,10,8,27,10,26,22
SAMD11,17,3,45,33,80,7,74,58
NOC2L,582,486,728,530,687,603,724,547
KLHL17,76,97,106,103,189,87,144,85
PLEKHN1,0,2,7,16,6,2,3,4
PERM1,3237,1316,2486,2236,2758,4192,1913,2161
HES4,259,326,350,437,301,177,294,245
ISG15,330,177,318,498,339,205,233,240
AGRN,1782,742,2547,1677,2223,1568,2672,1179
LOC100288175,0,3,1,4,6,1,4,5
LOC105378948,0,1,0,0,0,1,0,1
RNF223,3,0,0,1,3,1,0,3
C1orf159,101,20,153,101,100,94,129,109
LOC124903819,1,3,1,2,0,0,4,0
LOC124903820,0,3,2,2,2,0,3,1
LINC01342,1,0,2,0,6,0,0,0
LOC124903818,11,2,7,2,0,3,8,1
MIR200B,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0
TTLL10-AS1,1,4,1,1,3,2,7,0
TTLL10,5,3,7,5,5,5,8,0
TNFRSF18,0,0,5,6,5,3,3,2
TNFRSF4,94,48,104,263,86,33,96,85
SDF4,3548,1953,4224,3235,4088,3270,3898,2950
B3GALT6,457,234,523,410,502,431,442,355
C1QTNF12,12,6,11,18,21,18,27,3
UBE2J2,660,602,873,734,929,698,863,728
LINC01786,21,35,42,31,32,71,27,36
SCNN1D,61,53,47,65,79,72,55,42
ACAP3,948,575,1002,850,964,1086,784,1032
MIR6726,0,0,0,0,0,0,0,0
SNORD167,1,0,1,3,3,6,4,7
PUSL1,130,145,132,132,170,107,150,160
INTS11,1424,1083,1556,1288,1458,1488,1487,1233
MIR6727,0,1,0,0,0,1,2,1
CPTP,2158,1368,1941,2109,2151,2701,1275,1404
TAS1R3,39,28,27,24,51,27,34,45
