Category,Term,PValue,Genes
GO Biological Processes,inflammatory response,1.9952623149688827e-13,"SERPINA3,CD5L,CHI3L1,CCR1,FPR1,FPR2,IL1RN,IL2RA,CD180,MEFV,SERPINA1,S100A8,S100A9,TLR2,IL1RL1,CD163,NLRP6,LCN10,LILRA5,MMP9,EDN2,EDN3,CR1,LILRA6,KCNK13,CTSG,CD177,SPP1"
GO Molecular Functions,immune receptor activity,7.079457843841373e-10,"CCR1,CR1,FPR1,FPR2,IL2RA,CXCR1,IL1RL1,LILRA6,LILRA5,ACP3,TLR2,SIGLEC9,CD177,CTSG,MMP9,SSTR5,NLRP6"
GO Biological Processes,myeloid leukocyte migration,4.466835921509635e-09,"CCR1,CTSG,EDN2,EDN3,CXCR1,S100A8,S100A9,CD177,FPR1,FPR2,RNASE2,LYVE1,AQP4,ATP6V1G2,HK3,MT1A,MT1M,LCN6,SSTR5,ATP1B4,FGF5,IL1RN,SPP1,CA3,MYL1,MMP9"
GO Molecular Functions,pattern recognition receptor activity,1.0232929922807536e-08,"CD180,TLR2,CLEC4M,CD209,NLRP6,CLEC4G,CR1,CTSG,SLC38A8,FPR2,SSTR5,HK3,CHI3L1,SIGLEC9,IL2RA,ATP6V1G2,RAB33A"
GO Molecular Functions,RAGE receptor binding,2.951209226666384e-08,"FPR1,FPR2,S100A8,S100A9,CLEC4M,CD209,CD177,TLR2,CA3,CTSG,CD180,MMP9,NLRP6,LCN10,MEFV,KCNK13,FGF5,EDN2,FAT3"
GO Cellular Components,secretory granule lumen,3.981071705534969e-07,"SERPINA3,CHI3L1,CTSG,F13A1,HK3,SERPINA1,RNASE2,S100A8,S100A9,MMP9,FCGBP,FIBCD1,ACP3,FPR1"
GO Cellular Components,multivesicular body lumen,7.762471166286911e-07,"PGA5,PGA3,PGA4,SERPINA3,RBP4,ACP3,ATP1B4,CTSG,MMP9"
GO Cellular Components,external side of plasma membrane,1.8620871366628656e-06,"AQP4,CCR1,IL2RA,CXCR1,IL1RL1,CD163,CLEC4M,CD209,CLEC4G,CHI3L1,CTSG,EDN2,TLR2,LILRA6,NLRP6,LILRA5,IL1RN,CHRDL2,CD177"
GO Biological Processes,acute inflammatory response,2.1379620895022326e-06,"SERPINA3,IL1RN,SERPINA1,CD163,NLRP6,F13A1,RARRES1,SPINK1,CR1,CD5L"
GO Biological Processes,peptide transport,1.3489628825916533e-05,"EDN3,IL1RN,S100A8,CLEC4M,CD209,SLCO4A1"
GO Cellular Components,ficolin-1-rich granule,1.5488166189124828e-05,"CR1,FPR1,FPR2,HK3,MMP9,SERPINA1"
GO Biological Processes,myeloid leukocyte activation,0.0001122018454301963,"CTSG,EDN2,FPR2,BATF,LCN10,IL2RA,CD180,CLEC4G"
GO Biological Processes,positive regulation of cytokine production,0.0001412537544622754,"ALOX15B,CHI3L1,MEFV,TLR2,IL1RL1,BATF,NLRP6,LILRA5,MMP9,CLEC4G"
GO Biological Processes,regulation of immune effector process,0.00019952623149688788,"CD5L,CR1,RBP4,S100A9,BATF,CD177,CLEC4G,IL1RL1,NLRP6,CTSG,IL1RN,IL2RA,CD209,LILRA5,MEFV,ALOX15B,RARRES1,SSTR5,TNMD,CD180,CCR1"
GO Biological Processes,response to type II interferon,0.0003388441561392024,"AQP4,MEFV,TLR2,LCN10"
GO Biological Processes,response to wounding,0.0003467368504525317,"CCR1,CTSG,F13A1,SERPINA1,IL1RL1,LYVE1,NLRP6,AQP4,CD177"
GO Biological Processes,positive regulation of secretion,0.0003715352290971724,"EDN3,RBP4,S100A8,SPP1,TLR2,CD177,SSTR5,NLRP6,CTSG,IL1RN,SLCO4A1"
GO Biological Processes,response to lipopolysaccharide,0.00038018939632056124,"CTSG,CD180,MMP9,S100A8,TLR2,LCN10,NLRP6,SPP1,SSTR5"
GO Biological Processes,regulation of growth,0.0003890451449942805,"ALOX15B,MT1A,MT1M,RBP4,S100A8,S100A9,SPP1,CPNE5,ATP1B4,LCN6"
GO Molecular Functions,lipid transmembrane transporter activity,0.0005754399373371566,"RBP4,ABCC3,SLCO4A1,AQP4,ATP1B4"
