Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,DEG_Count,Pathway_Total,Rich_Factor
Neutrophil extracellular trap formation,6/189,1.652272414392325E-4,0.019827268972707902,0,0,8.086475409836066,70.41855468208587,SIGLEC9;CR1;FPR1;CTSG;FPR2;TLR2,6,189,0.031746031746031744
Protein digestion and absorption,4/103,0.0010191255953010282,0.06114753571806169,0,0,9.763488543976349,67.25882023919625,ATP1B4;PGA3;PGA5;PGA4,4,103,0.038834951456310676
Mineral absorption,3/60,0.0022010692170379913,0.08405465395060355,0,0,12.59162967660114,77.04581512910512,MT1A;MT1M;ATP1B4,3,60,0.05
Measles,4/139,0.0030539745616763414,0.08405465395060355,0,0,7.146883468834688,41.38982771990103,CLEC4M;CD209;IL2RA;TLR2,4,139,0.02877697841726619
Neuroactive ligand-receptor interaction,6/341,0.0035220320321741817,0.08405465395060355,0,0,4.383358208955224,24.760350795015324,EDN2;EDN3;FPR1;CTSG;FPR2;SSTR5,6,341,0.017595307917888565
Phagosome,4/152,0.0042027326975301775,0.08405465395060355,0,0,6.514831905075807,35.649292585501264,ATP6V1G2;CLEC4M;CD209;TLR2,4,152,0.02631578947368421
Complement and coagulation cascades,3/85,0.005882174788802779,0.09196704279318185,0,0,8.741698501322363,44.895866254502664,SERPINA1;CR1;F13A1,3,85,0.03529411764705882
Bile secretion,3/90,0.006889806536560011,0.09196704279318185,0,0,8.237224761113419,41.00253479070316,ABCC3;ATP1B4;AQP4,3,90,0.03333333333333333
Tuberculosis,4/180,0.007597624524515373,0.09196704279318185,0,0,5.470620842572062,26.69619010968247,CR1;CLEC4M;CD209;TLR2,4,180,0.022222222222222223
IL-17 signaling pathway,3/94,0.007765315669783476,0.09196704279318185,0,0,7.873560174764994,38.250449543217194,MMP9;S100A9;S100A8,3,94,0.031914893617021274
Cytokine-cytokine receptor interaction,5/295,0.008896898872849687,0.09196704279318185,0,0,4.177096636866752,19.724469634471575,CCR1;IL1RL1;IL1RN;CXCR1;IL2RA,5,295,0.01694915254237288
Viral protein interaction with cytokine and cytokine receptor,3/100,0.009196704279318185,0.09196704279318185,0,0,7.384300086945721,34.62431918243145,CCR1;CXCR1;IL2RA,3,100,0.03
cAMP signaling pathway,4/216,0.014110528934714905,0.13025103632044527,0,0,4.533364012885412,19.31591164426595,EDN2;EDN3;ATP1B4;SSTR5,4,216,0.018518518518518517
Carbohydrate digestion and absorption,2/47,0.01742932295606297,0.149394196766254,0,0,10.512698412698413,42.572236778053906,HK3;ATP1B4,2,47,0.0425531914893617
Malaria,2/50,0.019588053045278837,0.1567044243622307,0,0,9.854166666666666,38.754815869716495,CR1;TLR2,2,50,0.04
"Neomycin, kanamycin and gentamicin biosynthesis",1/5,0.0213178505521487,0.15988387914111526,0,0,58.55882352941177,225.34667975778618,HK3,1,5,0.2
Legionellosis,2/57,0.02503241519578498,0.17669940138201162,0,0,8.596969696969698,31.702045204893388,CR1;TLR2,2,57,0.03508771929824561
Renin secretion,2/69,0.035601512307861745,0.23083077175253566,0,0,7.052949538024165,23.52417628062031,EDN2;EDN3,2,69,0.028985507246376812
Epithelial cell signaling in Helicobacter pylori infection,2/70,0.03654820552748481,0.23083077175253566,0,0,6.9488795518207285,22.99469847199605,ATP6V1G2;CXCR1,2,70,0.02857142857142857
Leishmaniasis,2/77,0.04344040984266654,0.26064245905599925,0,0,6.298095238095238,19.753126534025004,CR1;TLR2,2,77,0.025974025974025976
B cell receptor signaling pathway,2/81,0.047578842583712665,0.2718791004783581,0,0,5.977998794454491,18.205200853023133,LILRA6;LILRA5,2,81,0.024691358024691357
PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.056263866722923495,0.2955148223688225,0,0,5.426108374384237,15.614726984034691,TLR2;BATF,2,89,0.02247191011235955
Rheumatoid arthritis,2/93,0.06079900490065261,0.2955148223688225,0,0,5.186551543694401,14.523287532579202,ATP6V1G2;TLR2,2,93,0.021505376344086023
Staphylococcus aureus infection,2/95,0.06311230005452048,0.2955148223688225,0,0,5.074500768049155,14.0200316665264,FPR1;FPR2,2,95,0.021052631578947368
PI3K-Akt signaling pathway,4/354,0.06635226897803462,0.2955148223688225,0,0,2.726689895470383,7.396902511691114,FGF5;IL2RA;SPP1;TLR2,4,354,0.011299435028248588
Hematopoietic cell lineage,2/99,0.06782697482760588,0.2955148223688225,0,0,4.864261168384879,13.088731111004433,CR1;IL2RA,2,99,0.020202020202020204
Nitrogen metabolism,1/17,0.0706656488135395,0.2955148223688225,0,0,14.630882352941176,38.768849097220134,CA3,1,17,0.058823529411764705
Amoebiasis,2/102,0.07143746073477412,0.2955148223688225,0,0,4.717619047619047,12.44948005343785,CTSG;TLR2,2,102,0.0196078431372549
